neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
South Diamond Bar,2010,4796,39%,1850,31%,69%,193,69%,32%,4796,0%,56%,1%,16%,0%,2%,2%,23%
Universal City,2010,133,24%,32,20%,80%,19,57%,29%,133,1%,10%,4%,5%,0%,0%,3%,77%
Pacific Palisades,2010,23442,16%,3726,23%,77%,1623,40%,24%,23442,0%,6%,0%,5%,0%,0%,1%,88%
Bel-Air,2010,7430,25%,1883,23%,77%,242,21%,17%,7430,0%,7%,2%,4%,0%,0%,2%,84%
East Pasadena,2010,5345,41%,2188,26%,74%,561,51%,32%,5345,0%,24%,1%,34%,0%,0%,3%,39%
Cudahy,2010,24268,49%,11843,78%,22%,4658,51%,25%,24268,0%,1%,0%,96%,0%,1%,0%,2%
Palos Verdes Estates,2010,13086,19%,2526,18%,82%,478,28%,14%,13086,0%,18%,1%,4%,0%,0%,3%,74%
Ladera Heights,2010,11789,13%,1564,33%,67%,1757,40%,19%,11789,1%,6%,62%,6%,0%,0%,4%,20%
Walnut Park,2010,16517,49%,8114,69%,31%,1529,65%,38%,16517,0%,0%,0%,99%,0%,0%,0%,1%
La Crescenta-Montrose,2010,19392,37%,7122,36%,64%,2517,49%,23%,19392,0%,30%,0%,10%,1%,0%,3%,56%
Gardena,2010,58357,34%,19834,50%,50%,11101,53%,30%,58357,0%,28%,22%,37%,1%,1%,2%,10%
Duarte,2010,21162,34%,7174,40%,60%,1880,47%,22%,21162,0%,14%,7%,45%,0%,0%,2%,31%
La Mirada,2010,48113,23%,10916,35%,65%,2810,68%,37%,48113,1%,17%,2%,40%,0%,0%,2%,38%
Maywood,2010,25782,49%,12589,73%,27%,4482,54%,30%,25782,0%,1%,0%,97%,0%,0%,0%,1%
Alondra Park,2010,8439,33%,2783,50%,50%,1261,53%,29%,8439,0%,14%,17%,45%,1%,0%,1%,22%
Beverly Grove,2010,21156,26%,5548,33%,67%,8636,46%,24%,21156,0%,5%,4%,8%,0%,0%,2%,81%
Vermont Vista,2010,23585,31%,7352,78%,22%,4161,67%,43%,23585,0%,0%,44%,54%,0%,0%,1%,1%
Lawndale,2010,32330,39%,12520,59%,41%,6539,56%,30%,32330,0%,10%,7%,62%,0%,0%,3%,18%
Hyde Park,2010,35507,23%,8140,61%,39%,7185,64%,36%,35507,0%,2%,61%,33%,0%,1%,2%,2%
Lomita,2010,19761,22%,4381,46%,54%,3975,40%,19%,19761,0%,15%,2%,35%,0%,0%,5%,42%
South Pasadena,2010,25236,29%,7397,40%,60%,5637,39%,18%,25236,0%,31%,2%,21%,0%,0%,3%,43%
Westmont,2010,31178,24%,7396,74%,26%,6782,62%,36%,31178,0%,0%,52%,46%,0%,1%,1%,1%
San Pasqual,2010,2028,23%,465,35%,65%,360,34%,11%,2028,0%,14%,2%,9%,0%,0%,0%,74%
West Hollywood,2010,34580,32%,11110,33%,67%,17526,49%,28%,34580,0%,5%,2%,12%,0%,0%,3%,77%
Artesia,2010,16416,43%,7101,49%,51%,1844,58%,28%,16416,1%,36%,5%,33%,0%,0%,2%,24%
Manhattan Beach,2010,34750,9%,3290,32%,68%,4160,36%,19%,34750,0%,7%,0%,9%,0%,1%,4%,80%
West Carson,2010,20871,36%,7542,46%,54%,1962,31%,17%,20871,0%,28%,12%,33%,2%,0%,2%,22%
Hermosa Beach,2010,19297,11%,2124,46%,54%,5093,42%,16%,19297,0%,7%,1%,9%,0%,0%,3%,80%
Carthay,2010,5514,20%,1102,44%,56%,1766,47%,20%,5514,0%,8%,11%,12%,1%,0%,3%,65%
Beverly Hills,2010,33929,39%,13111,28%,72%,8179,51%,27%,33929,0%,6%,2%,5%,0%,0%,1%,85%
El Segundo,2010,16515,14%,2289,49%,51%,4052,31%,15%,16515,1%,6%,2%,18%,0%,0%,4%,70%
View Park-Windsor Hills,2010,10746,6%,631,25%,75%,1318,41%,18%,10746,2%,2%,87%,3%,0%,1%,4%,2%
Sierra Madre,2010,10837,13%,1383,24%,76%,1814,39%,21%,10837,0%,8%,2%,16%,0%,0%,3%,72%
Gramercy Park,2010,10868,12%,1282,62%,38%,1429,74%,41%,10868,0%,1%,77%,20%,0%,0%,1%,1%
Aggregated,2010,9717337,36%,3467447,55%,45%,1659158,54%,28%,9717337,0%,14%,8%,47%,0%,0%,2%,28%
Irwindale,2011,1864,19%,363,46%,55%,146,35%,14%,1864,0%,4%,1%,88%,0%,0%,0%,7%
Pico-Union,2011,40576,61%,24814,74%,26%,10827,59%,27%,40576,0%,9%,3%,83%,0%,0%,0%,4%
Glendora,2011,51798,15%,7855,40%,60%,5105,47%,25%,51798,0%,7%,2%,29%,0%,0%,2%,59%
Industry,2011,22600,42%,9430,44%,56%,1706,50%,27%,22600,0%,28%,1%,56%,0%,0%,1%,13%
Sylmar,2011,72387,37%,26593,56%,44%,5313,63%,34%,72387,0%,6%,3%,77%,0%,0%,1%,12%
Torrance,2011,143972,30%,43682,45%,55%,23737,47%,23%,143972,0%,35%,3%,17%,0%,0%,4%,42%
Alhambra,2011,83092,53%,44082,37%,63%,16825,53%,28%,83092,0%,53%,1%,33%,0%,0%,1%,10%
Pico Rivera,2011,64100,33%,21291,52%,48%,5259,61%,28%,64100,0%,3%,0%,91%,0%,0%,0%,5%
Rolling Hills Estates,2011,10054,20%,2000,33%,67%,470,46%,16%,10054,0%,22%,2%,5%,0%,0%,3%,68%
Signal Hill,2011,11109,28%,3058,46%,54%,2050,45%,21%,11109,0%,24%,13%,33%,0%,1%,4%,26%
Hawthorne,2011,87640,35%,30722,58%,42%,21174,50%,26%,87640,0%,7%,24%,54%,1%,0%,2%,12%
North Hills,2011,57349,47%,26778,66%,34%,7833,63%,34%,57349,0%,15%,4%,62%,0%,0%,1%,18%
Hacienda Heights,2011,53669,42%,22609,34%,66%,3121,57%,28%,53669,0%,37%,1%,43%,0%,0%,2%,17%
Harbor Gateway,2011,38741,38%,14766,64%,36%,7037,61%,33%,38741,0%,15%,16%,58%,0%,0%,2%,8%
Lopez/Kagel Canyons,2011,1390,29%,404,54%,46%,80,70%,40%,1390,0%,4%,15%,50%,0%,0%,1%,30%
Citrus,2011,12596,37%,4700,63%,37%,1247,55%,29%,12596,0%,7%,2%,70%,0%,0%,1%,19%
Lake Balboa,2011,26157,33%,8729,47%,53%,2838,63%,34%,26157,0%,8%,4%,41%,1%,0%,2%,44%
Granada Hills,2011,52731,35%,18394,34%,66%,4544,53%,29%,52731,0%,16%,4%,28%,0%,0%,3%,48%
Palms,2011,43298,39%,16762,60%,40%,17916,47%,23%,43298,0%,23%,9%,23%,0%,0%,4%,39%
Santa Monica,2011,87382,23%,19937,39%,61%,32980,45%,24%,87382,0%,10%,4%,12%,0%,0%,3%,70%
Pacoima,2011,73468,44%,32351,69%,31%,7566,63%,33%,73468,0%,2%,4%,91%,0%,0%,0%,3%
Toluca Lake,2011,8602,17%,1427,30%,70%,2531,50%,23%,8602,0%,6%,5%,10%,0%,1%,2%,76%
Veterans Administration,2011,780,26%,204,43%,57%,112,55%,36%,780,1%,16%,29%,16%,0%,0%,3%,36%
Valley Village,2011,22800,25%,5729,40%,60%,7298,54%,29%,22800,0%,6%,4%,16%,0%,0%,3%,70%
Brentwood,2011,33815,25%,8417,28%,72%,7204,44%,24%,33815,0%,9%,1%,7%,0%,0%,2%,81%
Pomona,2011,150505,34%,51265,63%,37%,17324,59%,31%,150505,0%,8%,8%,69%,0%,0%,1%,13%
South Whittier,2011,53195,28%,15042,59%,41%,5032,55%,25%,53195,0%,4%,1%,77%,0%,0%,1%,18%
Pasadena,2011,139793,31%,43650,50%,50%,30037,49%,25%,139793,0%,13%,11%,33%,0%,0%,2%,39%
Winnetka,2011,52278,44%,23020,55%,45%,7315,60%,34%,52278,0%,18%,5%,47%,0%,0%,2%,28%
Palmdale,2011,151098,25%,37888,55%,45%,13036,68%,34%,151098,0%,4%,14%,55%,0%,0%,2%,25%
Porter Ranch,2011,25567,35%,9033,20%,80%,745,46%,25%,25567,0%,26%,5%,11%,0%,1%,2%,54%
South El Monte,2011,19673,51%,9965,65%,35%,2464,60%,24%,19673,0%,13%,0%,84%,0%,0%,0%,3%
Tujunga Canyons,2011,7586,19%,1406,34%,66%,304,56%,22%,7586,0%,9%,5%,26%,0%,0%,2%,57%
Commerce,2011,13568,36%,4862,59%,41%,1734,56%,32%,13568,0%,1%,2%,92%,0%,0%,0%,4%
San Fernando,2011,23631,36%,8585,55%,45%,2861,67%,37%,23631,0%,1%,0%,91%,0%,0%,0%,7%
Sherman Oaks,2011,66599,25%,16814,39%,61%,18466,52%,27%,66599,0%,7%,5%,14%,0%,0%,3%,70%
Bradbury,2011,1298,25%,329,23%,78%,79,63%,57%,1298,0%,27%,2%,16%,0%,0%,1%,55%
Panorama City,2011,69874,53%,37254,66%,34%,11580,62%,33%,69874,0%,13%,4%,72%,0%,1%,1%,9%
Northridge,2011,60879,35%,21214,47%,53%,10297,53%,30%,60879,0%,18%,7%,31%,0%,0%,2%,42%
Culver City,2011,35792,26%,9137,35%,65%,6439,46%,26%,35792,0%,14%,9%,25%,0%,0%,4%,47%
Lakewood,2011,79164,20%,15973,36%,64%,7335,49%,22%,79164,1%,15%,8%,30%,1%,0%,3%,42%
Compton,2011,97445,31%,30510,77%,23%,10712,62%,36%,97445,0%,0%,30%,65%,1%,0%,2%,1%
Vernon,2011,426,40%,169,68%,33%,62,49%,29%,426,0%,3%,5%,81%,0%,0%,0%,10%
San Dimas,2011,35521,21%,7561,31%,69%,3337,48%,25%,35521,0%,11%,3%,28%,0%,0%,3%,54%
Inglewood,2011,111154,29%,31719,66%,34%,23615,58%,30%,111154,0%,1%,43%,50%,0%,0%,2%,4%
Charter Oak,2011,8299,19%,1541,40%,60%,877,47%,18%,8299,0%,9%,3%,45%,0%,0%,2%,41%
Paramount,2011,54847,39%,21140,65%,35%,7873,64%,34%,54847,0%,2%,9%,80%,1%,0%,0%,7%
San Pedro,2011,78037,24%,18580,52%,48%,16810,53%,29%,78037,0%,4%,5%,46%,0%,0%,3%,41%
Lincoln Heights,2011,29922,50%,14818,60%,40%,6133,62%,34%,29922,0%,25%,1%,70%,0%,0%,0%,4%
Boyle Heights,2011,89169,49%,43383,73%,27%,17104,59%,33%,89169,0%,3%,1%,94%,0%,0%,0%,2%
Historic South-Central,2011,46743,51%,23950,83%,17%,8324,66%,37%,46743,0%,1%,6%,91%,0%,0%,0%,1%
Avalon,2011,3645,34%,1230,72%,28%,830,52%,20%,3645,0%,0%,0%,62%,0%,0%,1%,37%
Westlake,2011,104105,63%,66057,75%,25%,33899,58%,29%,104105,0%,21%,4%,69%,0%,0%,1%,5%
Mission Hills,2011,18383,36%,6535,46%,54%,1458,60%,30%,18383,0%,11%,4%,61%,0%,0%,2%,22%
Quartz Hill,2011,10394,8%,856,32%,68%,779,54%,24%,10394,1%,4%,11%,23%,0%,1%,3%,57%
Marina del Rey,2011,8607,27%,2296,54%,46%,5108,46%,23%,8607,0%,8%,7%,6%,0%,0%,4%,74%
Bell,2011,35361,47%,16503,75%,25%,6515,56%,29%,35361,0%,0%,0%,93%,0%,0%,0%,5%
Long Beach,2011,461022,27%,123949,58%,42%,93427,54%,29%,461022,0%,13%,13%,40%,1%,0%,3%,29%
San Gabriel,2011,40813,54%,22207,40%,60%,6072,54%,30%,40813,0%,59%,1%,26%,0%,0%,2%,12%
Downey,2011,111600,35%,39188,48%,52%,16104,53%,27%,111600,0%,7%,3%,71%,0%,0%,1%,17%
Diamond Bar,2011,45181,44%,19885,34%,66%,2601,59%,26%,45181,0%,54%,4%,18%,0%,0%,2%,23%
La Canada Flintridge,2011,21658,26%,5626,26%,74%,1025,42%,17%,21658,0%,26%,0%,6%,0%,0%,2%,66%
West Covina,2011,108409,35%,38104,38%,62%,10209,58%,26%,108409,0%,24%,4%,54%,0%,0%,1%,16%
Redondo Beach,2011,66188,18%,12201,35%,65%,13525,44%,23%,66188,0%,11%,3%,16%,0%,0%,3%,66%
Vermont Square,2011,47898,40%,19312,75%,25%,8602,66%,41%,47898,0%,1%,30%,67%,0%,0%,1%,1%
Santa Fe Springs,2011,21354,24%,5083,53%,47%,2357,49%,24%,21354,1%,2%,3%,83%,0%,0%,1%,11%
Calabasas,2011,20958,26%,5379,24%,76%,1322,52%,33%,20958,0%,7%,3%,7%,0%,0%,3%,79%
Altadena,2011,43214,20%,8568,39%,61%,3749,48%,25%,43214,0%,4%,23%,29%,0%,0%,3%,40%
Bell Gardens,2011,42359,45%,19026,75%,25%,7363,57%,33%,42359,0%,0%,0%,97%,0%,0%,0%,2%
Sun Valley,2011,70153,49%,34718,55%,45%,9083,62%,33%,70153,0%,10%,2%,70%,0%,0%,0%,17%
Playa Vista,2011,8835,20%,1809,50%,50%,2459,60%,31%,8835,0%,19%,10%,19%,0%,0%,6%,46%
Carson,2011,91129,34%,31411,41%,59%,6105,46%,23%,91129,0%,26%,23%,38%,3%,0%,4%,7%
Hollywood Hills,2011,21504,19%,4188,43%,57%,7037,48%,27%,21504,1%,6%,5%,9%,0%,0%,4%,74%
Lancaster,2011,152033,13%,19467,51%,49%,18213,57%,33%,152033,1%,5%,19%,36%,0%,0%,2%,36%
Leona Valley,2011,2341,10%,223,34%,66%,75,83%,28%,2341,0%,4%,6%,14%,0%,0%,3%,73%
Whittier,2011,81989,20%,16559,47%,53%,11367,52%,25%,81989,0%,4%,1%,67%,0%,0%,1%,26%
Walnut,2011,29170,48%,14070,25%,75%,840,56%,16%,29170,0%,64%,3%,18%,0%,0%,2%,13%
Castaic Canyons,2011,45395,15%,7029,41%,59%,1908,45%,24%,45395,0%,8%,7%,29%,0%,0%,5%,50%
Silver Lake,2011,31011,29%,8917,45%,55%,9386,48%,21%,31011,0%,17%,3%,32%,0%,0%,3%,45%
Whittier Narrows,2011,6838,42%,2905,41%,59%,554,61%,35%,6838,1%,29%,0%,65%,0%,0%,1%,4%
Glendale,2011,190575,55%,104185,42%,58%,42844,62%,36%,190575,0%,16%,2%,17%,0%,0%,1%,64%
West Whittier-Los Nietos,2011,23688,28%,6536,52%,48%,1739,53%,30%,23688,0%,1%,0%,87%,0%,0%,0%,11%
Atwater Village,2011,11751,41%,4867,41%,59%,2989,50%,27%,11751,0%,20%,1%,47%,0%,0%,2%,30%
East Whittier,2011,10032,16%,1578,35%,65%,1264,46%,18%,10032,0%,3%,0%,51%,0%,0%,2%,43%
El Sereno,2011,42680,39%,16607,53%,47%,5898,55%,28%,42680,0%,11%,2%,80%,0%,0%,1%,6%
Montecito Heights,2011,17545,38%,6588,51%,49%,2816,62%,29%,17545,0%,17%,4%,59%,0%,1%,1%,19%
Florence,2011,47688,42%,20156,78%,22%,7693,67%,43%,47688,0%,0%,20%,79%,0%,0%,0%,1%
Huntington Park,2011,60191,51%,30936,70%,30%,10593,59%,31%,60191,0%,1%,0%,98%,0%,0%,0%,1%
Cheviot Hills,2011,8295,19%,1598,33%,67%,1102,43%,22%,8295,0%,9%,2%,8%,0%,0%,2%,79%
Cypress Park,2011,9373,50%,4645,59%,41%,1591,56%,27%,9373,0%,8%,0%,86%,0%,0%,0%,6%
Desert View Highlands,2011,2104,23%,474,47%,53%,164,39%,5%,2104,0%,7%,10%,43%,0%,0%,3%,37%
Baldwin Park,2011,75112,47%,34973,56%,44%,6315,58%,29%,75112,0%,15%,0%,79%,0%,0%,1%,5%
Montebello,2011,62496,38%,24052,50%,50%,9793,52%,27%,62496,0%,10%,1%,79%,0%,0%,0%,9%
Leimert Park,2011,13668,10%,1410,62%,38%,3241,63%,36%,13668,0%,3%,78%,14%,1%,1%,1%,1%
Santa Clarita,2011,173085,22%,38880,49%,51%,18497,54%,24%,173085,0%,10%,3%,31%,0%,0%,4%,51%
Elysian Park,2011,2326,55%,1288,54%,46%,628,57%,33%,2326,0%,43%,2%,40%,2%,0%,0%,12%
Wilmington,2011,57223,40%,22729,71%,29%,8265,60%,32%,57223,0%,2%,2%,89%,1%,0%,0%,6%
Jefferson Park,2011,23664,36%,8508,65%,35%,5611,62%,35%,23664,0%,2%,39%,52%,0%,1%,1%,4%
Downtown,2011,38216,38%,14631,55%,45%,16884,56%,26%,38216,0%,24%,18%,32%,0%,0%,2%,24%
Encino,2011,43805,34%,15075,30%,70%,7422,54%,33%,43805,0%,6%,4%,11%,0%,1%,3%,76%
West Adams,2011,21704,39%,8432,63%,37%,4778,61%,30%,21704,0%,1%,28%,67%,0%,1%,1%,3%
Hawaiian Gardens,2011,15073,44%,6599,67%,33%,1928,64%,35%,15073,0%,11%,3%,75%,0%,0%,1%,9%
Agoura Hills,2011,17209,19%,3200,35%,65%,1307,54%,43%,17209,0%,6%,1%,12%,0%,0%,3%,78%
Baldwin Hills/Crenshaw,2011,29359,23%,6840,62%,38%,9380,63%,35%,29359,0%,4%,66%,24%,0%,1%,2%,3%
Lake View Terrace,2011,13475,37%,4952,55%,45%,1121,59%,26%,13475,0%,9%,9%,63%,0%,0%,1%,18%
Adams-Normandie,2011,18624,45%,8355,72%,28%,4273,62%,35%,18624,0%,8%,20%,65%,0%,1%,0%,7%
El Monte,2011,107929,53%,57213,58%,42%,15742,61%,33%,107929,0%,25%,1%,68%,0%,0%,0%,5%
Rancho Dominguez,2011,2400,21%,513,48%,52%,71,54%,17%,2400,0%,6%,27%,38%,0%,0%,8%,21%
Acton,2011,2884,8%,242,26%,74%,112,80%,23%,2884,0%,2%,1%,19%,0%,0%,2%,76%
Studio City,2011,35237,22%,7688,35%,65%,9650,45%,24%,35237,0%,8%,4%,11%,0%,0%,3%,73%
La Puente,2011,40715,42%,17000,60%,40%,3678,57%,28%,40715,0%,7%,1%,86%,0%,0%,0%,5%
North Hollywood,2011,79398,43%,33935,59%,41%,22617,55%,27%,79398,0%,7%,5%,57%,0%,0%,1%,29%
Rosemead,2011,51541,57%,29356,40%,60%,6919,59%,32%,51541,0%,60%,1%,33%,0%,0%,1%,5%
San Marino,2011,13122,39%,5156,25%,75%,346,19%,8%,13122,0%,52%,0%,7%,0%,1%,2%,39%
East San Gabriel,2011,20962,50%,10427,40%,60%,2801,55%,28%,20962,0%,50%,1%,26%,0%,0%,2%,21%
South Park,2011,32803,48%,15828,81%,19%,5307,69%,46%,32803,0%,0%,14%,84%,0%,0%,1%,1%
Burbank,2011,102772,33%,34195,37%,63%,22944,49%,25%,102772,0%,11%,2%,26%,0%,0%,2%,59%
Woodland Hills,2011,55784,28%,15416,32%,68%,7700,45%,24%,55784,0%,9%,5%,11%,0%,0%,4%,71%
Angeles Crest,2011,4683,18%,859,32%,68%,242,54%,19%,4683,0%,6%,6%,31%,0%,0%,2%,55%
East Compton,2011,11665,39%,4579,77%,23%,1098,61%,34%,11665,0%,1%,16%,82%,0%,0%,0%,1%
Chatsworth,2011,47818,29%,13884,38%,62%,5217,52%,23%,47818,0%,18%,3%,21%,0%,0%,2%,54%
Mayflower Village,2011,9846,38%,3783,46%,54%,581,47%,23%,9846,0%,17%,5%,53%,0%,0%,1%,24%
Koreatown,2011,108642,65%,70565,73%,27%,39384,58%,30%,108642,0%,36%,5%,50%,0%,0%,1%,7%
South Gate,2011,94574,45%,42676,63%,37%,13252,61%,31%,94574,0%,1%,0%,95%,0%,0%,0%,3%
Elysian Valley,2011,7957,51%,4071,59%,41%,1404,47%,22%,7957,0%,25%,1%,65%,1%,0%,2%,7%
Claremont,2011,38423,17%,6477,34%,66%,4129,52%,25%,38423,0%,11%,5%,21%,0%,0%,3%,60%
Avocado Heights,2011,13533,34%,4629,50%,50%,786,52%,36%,13533,0%,9%,1%,81%,0%,1%,1%,7%
South San Gabriel,2011,8479,43%,3612,31%,69%,671,61%,25%,8479,1%,46%,1%,45%,0%,0%,1%,6%
Northwest Antelope Valley,2011,5038,11%,575,34%,66%,231,59%,28%,5038,0%,6%,3%,17%,0%,1%,2%,70%
Echo Park,2011,35020,45%,15874,60%,40%,9602,53%,27%,35020,0%,17%,2%,57%,0%,1%,1%,22%
Lynwood,2011,68341,41%,28005,67%,33%,7685,65%,36%,68341,0%,1%,9%,87%,0%,0%,0%,3%
Unincorporated Santa Susana Mountains,2011,22023,24%,5306,41%,59%,2191,53%,27%,22023,0%,21%,3%,20%,0%,0%,3%,53%
Shadow Hills,2011,12781,34%,4293,25%,75%,1051,42%,27%,12781,0%,9%,1%,20%,0%,0%,1%,68%
La Habra Heights,2011,8703,19%,1691,21%,79%,212,73%,21%,8703,0%,13%,1%,28%,0%,0%,3%,55%
Covina,2011,53050,21%,11017,43%,57%,6462,52%,28%,53050,0%,9%,4%,53%,0%,0%,2%,31%
Northwest Palmdale,2011,4162,10%,418,30%,70%,134,54%,32%,4162,0%,3%,9%,30%,0%,0%,1%,56%
Sawtelle,2011,39179,37%,14480,56%,44%,14154,44%,23%,39179,0%,24%,3%,23%,0%,0%,3%,47%
Rancho Park,2011,5223,33%,1730,61%,39%,1230,49%,27%,5223,0%,29%,2%,9%,0%,0%,4%,56%
East Los Angeles,2011,122653,44%,53761,70%,30%,19728,56%,31%,122653,0%,1%,0%,98%,0%,0%,0%,1%
Beverlywood,2011,6862,24%,1621,22%,78%,856,59%,35%,6862,0%,8%,3%,7%,0%,0%,2%,80%
Bellflower,2011,76151,29%,22300,54%,46%,14767,54%,27%,76151,0%,11%,14%,51%,0%,1%,1%,22%
Azusa,2011,45065,34%,15296,59%,41%,5218,58%,30%,45065,0%,7%,3%,70%,0%,0%,1%,18%
Del Rey,2011,28961,36%,10310,61%,39%,6295,49%,22%,28961,0%,13%,5%,42%,0%,0%,3%,38%
Mid-Wilshire,2011,41121,32%,13287,54%,46%,15499,49%,25%,41121,0%,23%,17%,18%,0%,0%,4%,37%
North Whittier,2011,6893,22%,1550,39%,61%,443,54%,34%,6893,0%,11%,2%,56%,0%,0%,2%,28%
Beverly Crest,2011,11067,22%,2429,25%,75%,359,29%,12%,11067,0%,5%,1%,5%,0%,0%,4%,86%
Cerritos,2011,49318,47%,23039,26%,74%,2873,55%,28%,49318,0%,62%,7%,12%,0%,1%,3%,16%
West Hills,2011,38387,25%,9756,32%,68%,2072,54%,30%,38387,0%,14%,3%,16%,0%,0%,3%,65%
Vincent,2011,13617,31%,4208,49%,51%,1007,50%,21%,13617,0%,9%,5%,69%,0%,0%,1%,16%
Sun Village,2011,1646,24%,402,59%,41%,122,73%,30%,1646,0%,0%,7%,63%,0%,0%,1%,29%
Playa del Rey,2011,11428,20%,2258,41%,59%,3031,42%,21%,11428,0%,12%,6%,11%,0%,0%,4%,67%
Valinda,2011,19066,40%,7704,50%,50%,1015,58%,25%,19066,0%,15%,2%,74%,0%,1%,1%,7%
Tujunga,2011,27803,42%,11801,42%,58%,4175,57%,32%,27803,1%,10%,2%,24%,0%,0%,2%,61%
Exposition Park,2011,31664,44%,14048,71%,29%,6795,64%,40%,31664,0%,3%,26%,66%,0%,0%,1%,3%
Eagle Rock,2011,34703,38%,13304,43%,57%,5044,52%,25%,34703,0%,26%,2%,41%,0%,0%,2%,28%
Harbor City,2011,26184,34%,8919,62%,38%,4254,53%,27%,26184,0%,14%,9%,51%,2%,0%,3%,21%
Southeast Antelope Valley,2011,7664,18%,1385,34%,66%,497,55%,25%,7664,0%,4%,4%,32%,0%,0%,3%,57%
Reseda,2011,67727,46%,31164,52%,48%,9752,61%,30%,67727,0%,15%,3%,51%,0%,0%,2%,29%
Willowbrook,2011,34386,30%,10165,75%,25%,4651,60%,34%,34386,0%,0%,39%,58%,0%,0%,1%,2%
Highland Park,2011,52548,43%,22368,59%,41%,10124,52%,27%,52548,0%,11%,2%,72%,0%,0%,1%,13%
Temple City,2011,35995,46%,16556,31%,69%,4368,54%,30%,35995,0%,56%,1%,17%,0%,0%,2%,24%
Westlake Village,2011,7713,13%,977,26%,74%,433,40%,23%,7713,0%,5%,1%,6%,0%,0%,2%,86%
Pico-Robertson,2011,16838,30%,4990,27%,73%,5843,58%,34%,16838,0%,7%,6%,10%,0%,0%,3%,73%
Monrovia,2011,38054,26%,9876,46%,54%,6768,46%,25%,38054,0%,13%,6%,38%,0%,0%,2%,42%
Broadway-Manchester,2011,25893,34%,8851,76%,24%,4202,73%,48%,25893,0%,0%,33%,65%,0%,0%,1%,1%
Sunland,2011,15738,36%,5649,37%,63%,1565,61%,27%,15738,0%,12%,1%,27%,0%,0%,2%,57%
Agua Dulce,2011,3933,10%,408,19%,81%,118,78%,14%,3933,0%,4%,0%,21%,0%,0%,2%,72%
Malibu,2011,9558,11%,1006,27%,73%,786,46%,30%,9558,0%,4%,2%,7%,0%,0%,3%,84%
Topanga,2011,7384,15%,1118,35%,65%,533,49%,26%,7384,0%,3%,3%,8%,0%,0%,2%,84%
Northeast Antelope Valley,2011,21283,16%,3434,58%,42%,1642,60%,23%,21283,0%,2%,7%,49%,0%,0%,1%,40%
Arleta,2011,33104,47%,15581,56%,44%,1973,64%,36%,33104,0%,9%,1%,81%,0%,0%,1%,8%
Van Nuys,2011,107393,48%,51586,67%,33%,25483,61%,33%,107393,0%,8%,5%,61%,0%,1%,2%,23%
Mar Vista,2011,35467,28%,9849,54%,46%,9469,47%,25%,35467,0%,13%,5%,27%,0%,0%,2%,52%
Valley Glen,2011,56560,48%,26892,54%,46%,12811,61%,33%,56560,0%,5%,4%,44%,0%,0%,2%,45%
Arcadia,2011,59772,48%,28706,36%,64%,7621,47%,26%,59772,0%,55%,1%,15%,0%,0%,2%,27%
Windsor Square,2011,6779,51%,3466,63%,37%,1562,58%,26%,6779,0%,45%,3%,15%,0%,2%,2%,33%
West Puente Valley,2011,19159,40%,7586,45%,55%,1079,60%,33%,19159,0%,9%,1%,85%,0%,0%,0%,6%
Central-Alameda,2011,42254,49%,20725,84%,16%,6652,72%,38%,42254,0%,1%,9%,90%,0%,0%,0%,0%
Arlington Heights,2011,20886,53%,11166,68%,32%,5657,62%,33%,20886,0%,18%,18%,56%,0%,0%,1%,6%
Harvard Heights,2011,17771,58%,10305,72%,28%,4629,62%,36%,17771,0%,21%,10%,63%,0%,0%,1%,4%
Harvard Park,2011,9707,34%,3346,73%,27%,1523,64%,38%,9707,0%,1%,43%,54%,0%,1%,0%,2%
East Hollywood,2011,67597,61%,41136,65%,35%,21154,59%,32%,67597,0%,17%,3%,58%,0%,1%,1%,20%
Lennox,2011,19407,50%,9741,74%,26%,3007,63%,38%,19407,0%,0%,5%,91%,0%,0%,0%,2%
Larchmont,2011,8285,49%,4074,45%,55%,2674,56%,25%,8285,0%,30%,2%,33%,0%,0%,2%,33%
Tarzana,2011,37094,37%,13555,35%,65%,5679,57%,28%,37094,0%,7%,4%,17%,0%,1%,3%,69%
Rolling Hills,2011,2937,20%,576,18%,82%,78,38%,13%,2937,0%,19%,1%,7%,0%,0%,3%,70%
Mid-City,2011,53582,34%,18389,61%,39%,12901,57%,31%,53582,0%,4%,27%,51%,0%,0%,2%,15%
Westchester,2011,41444,19%,7942,37%,63%,7472,49%,28%,41444,1%,12%,16%,17%,0%,0%,4%,50%
Manchester Square,2011,11621,13%,1559,54%,46%,1865,63%,36%,11621,0%,0%,75%,21%,0%,1%,2%,1%
Rowland Heights,2011,43638,57%,24693,43%,57%,4081,58%,34%,43638,0%,59%,1%,28%,0%,0%,1%,11%
Ridge Route,2011,7017,16%,1135,41%,59%,671,57%,27%,7017,0%,6%,4%,24%,0%,0%,3%,63%
South San Jose Hills,2011,20342,41%,8264,63%,37%,1126,48%,19%,20342,0%,8%,1%,86%,0%,0%,0%,6%
